;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shipment Creation/Booking Date (Year);Shipment Creation/Booking Date (Year/Month);Shipment Creation/Booking Date (Day);Link to myKN Track;Invoice Numbers;KN Origin Reference;Shipment Tracking Number;HBL/HAWB/COMMREF;MAWB/OBL/MANIFEST#;ABO;Origin Office Location Code;Origin Office Country Code;Destination Office Location Code;Destination Office Country Code;Shipper Name;Shipper Street;Shipper ZIP Code;Shipper City;Shipper Country;Shipper Country / UN Code;Consignee Name;Consignee Street;Consignee ZIP Code;Consignee City;Consignee Country;Consignee Country / UN Code;Delivery Terms;Delivery Terms (Location);Mode of Transport;Shipment Type;Carrier Code (SCAC);Flight / Vessel;Departure;Departure (UN Code);Departure (Country UN Code);Destination;Destination (UN Code);Destination (Country UN Code);Container Movement Code;Container Types;Container Number(s);No of TEU;No of 20 ft;No of 40 ft;No of 40 ft HC;No of 45 ft;Volume (m3);Gross weight (kgs);Chargeable Weight (kgs);Packages;Spend in EUR;Spend per TEU;Spend per m3;Spend per kg;Spend per chargeable kg - Air only;Spend per package;Status 0100 / Booking date;Status 0300 / Ready at Supplier;Status 0500 / Pick up date;Status 1000 / Received at KN origin;Status 1065 / Container at CY;Status 1300 / Departure date;Status 1400 / Arrival date;Status 1405 Container Discharged (Sea) / Checked in Carrier (Air);Status 1600 / Customs clearance date;Status 2210 / Released to 3rd party;Status 3000 / Delivery date;Latest Process Name;Latest Sts Code of Latest Process;Latest Sts Name of Latest Process
2024;2024/01;25/01/2024;Link Expired;I24022207420;2220-7024-402.055-06;RWM003156601;;;A240004;ESBCN;ES;#####;##;WIOECO DESIGN SL;CALLE DE LA CIERVA 9;08184;PALAU-SOLITA I PLEGAMANS;SPAIN;ES;V.O.F. JANSSEN VAN GENT HANDELSNAAM;NIEUWE NONNENDAALSEWEG 57;6542 PB;NIJMEGEN;NETHERLANDS;NL;DAP;;Road;Road Shipment (house);;;Palau-solita I Plegamans;;ES;Nijmegen;;NL;N/A;;;0;0;0;0;0;1,63;710,00;;1;152,06;;93,17;0,21;;152,06;;;31/01/2024;31/01/2024;;03/02/2024;;;;;07/02/2024;Delivered/Closed;3060;POD Available
2024;2024/02;05/02/2024;Link Expired;I24022207419;1000-0000-000.000;RWM003203270;;;A24009;NLRTM;NL;#####;##;WIOECO DESIGN SL;CALLE DE LA CIERVA 9;08184;PALAU-SOLITA I PLEGAMANS;SPAIN;ES;De Wase Vijverwinkel;Heihoekstraat 223;9100;SINT-NIKLAAS;BELGIUM;BE;DAP;;Road;Road Shipment (house);;;Palau-solita I Plegamans;;ES;Sint-niklaas;;BE;N/A;;;0;0;0;0;0;0,67;230,00;;1;96,02;;142,89;0,42;;96,02;;;;;;08/02/2024;30/01/2024;;;;14/02/2024;Delivered/Closed;3060;POD Available
2024;2024/02;05/02/2024;Link Expired;"I24042206802; I24042206803";1000-0000-000.000;RWM003203249;0933625714725;;A240053;NLRTM;NL;#####;##;WIOECO DESIGN SL;CALLE DE LA CIERVA 9;08184;PALAU-SOLITA I PLEGAMANS;SPAIN;ES;FORAGROBIO;SUBTILE VRLICA 10B;24000;SUBOTICA;SERBIA;RS;DAP;;Road;Road Shipment (house);;;Palau-solita I Plegamans;;ES;Subotica;;RS;N/A;;;0;0;0;0;0;1,92;573,00;;1;322,82;;168,14;0,56;;322,82;;;;;;06/03/2024;29/02/2024;;06/03/2024;;06/03/2024;Delivered/Closed;3060;POD Available
2024;2024/02;08/02/2024;Link Expired;I24022207421;2220-7147-402.056-01;RWM003224481;0933625709541;;A240056;ESBCN;ES;#####;##;WIOECO DESIGN SL;CALLE DE LA CIERVA 9;08184;PALAU-SOLITA I PLEGAMANS;SPAIN;ES;NATTEC - WHOLESALE OF AQUARIUM;WROCŁAWSKA 33D;55-220;MILOSZYCE;POLAND;PL;DAP;;Road;Road Shipment (house);;;Palau-solita I Plegamans;;ES;Miloszyce;;PL;N/A;;;0;0;0;0;0;1,63;915,00;;1;241,95;;148,25;0,26;;241,95;;;13/02/2024;13/02/2024;;14/02/2024;16/02/2024;;;;19/02/2024;Delivered/Closed;3060;POD Available
2024;2024/02;09/02/2024;Link Expired;I24022207418;2220-7024-402.073-07;RWM003230563;;;000;ESBCN;ES;#####;##;WIOECO DESIGN SL;CALLE DE LA CIERVA 9;08184;PALAU-SOLITA I PLEGAMANS;SPAIN;ES;Azaqua;Kornputsingel 7;8331 JS;STEENWIJK;NETHERLANDS;NL;DAP;;Road;Road Shipment (house);;;Palau-solita I Plegamans;;ES;Steenwijk;;NL;N/A;;;0;0;0;0;0;1,54;540,00;;1;145,40;;94,66;0,27;;145,4;;;13/02/2024;13/02/2024;;20/02/2024;20/02/2024;;;;28/02/2024;Delivered/Closed;3060;POD Available
2024;2024/02;09/02/2024;Link Expired;I24022207424;2220-7020-402.056-01;RWM003230559;0933625710793;;A240045;ESBCN;ES;#####;##;WIOECO DESIGN SL;CALLE DE LA CIERVA 9;08184;PALAU-SOLITA I PLEGAMANS;SPAIN;ES;INVITAL ROSTLINNA-AKVARIA.CZ;JASELSKÁ 2942/31;746 01;OPAVA;CZECH REPUBLIC;CZ;DAP;;Road;Road Shipment (house);;;Palau-solita I Plegamans;;ES;Opava;;CZ;N/A;;;0;0;0;0;0;3,26;1.600,00;;2;402,11;;123,20;0,25;;201,055;;;14/02/2024;14/02/2024;;16/02/2024;19/02/2024;;;;20/02/2024;Delivered/Closed;3060;POD Available
2024;2024/02;15/02/2024;Link Expired;I24022207422;1000-0000-000.000;RWM003251480;;;;NLRTM;NL;#####;##;WIOECO DESIGN SL;CALLE DE LA CIERVA 9;08184;PALAU-SOLITA I PLEGAMANS;SPAIN;ES;BIOTOPO;HARINGVLIET 13;6826 VB;ARNHEM;NETHERLANDS;NL;DAP;;Road;Road Shipment (house);;;Palau-solita I Plegamans;;ES;Arnhem;;NL;N/A;;;0;0;0;0;0;0,53;185,00;;1;63,63;;120,51;0,34;;63,63;;;;;;21/02/2024;18/02/2024;;;;23/02/2024;Delivered/Closed;3060;POD Available
2024;2024/02;15/02/2024;Link Expired;I24022207423;1000-0000-000.000;RWM003251475;0933625712594;;;NLRTM;NL;#####;##;WIOECO DESIGN SL;CALLE DE LA CIERVA 9;08184;PALAU-SOLITA I PLEGAMANS;SPAIN;ES;NATTEC - WHOLESALE OF AQUARIUM;WROCŁAWSKA 33D;55-220;MILOSZYCE;POLAND;PL;DAP;;Road;Road Shipment (house);;;Palau-solita I Plegamans;;ES;Miloszyce;;PL;N/A;;;0;0;0;0;0;0,01;200,00;;1;80,75;;16.150,00;0,40;;80,75;;;;;;20/02/2024;21/02/2024;;;;22/02/2024;Delivered/Closed;3060;POD Available
2024;2024/02;15/02/2024;Link Expired;I24022207425;1000-0000-000.000;RWM003251477;;;;NLRTM;NL;GBBGK;GB;WIOECO DESIGN SL;CALLE DE LA CIERVA 9;08184;PALAU-SOLITA I PLEGAMANS;SPAIN;ES;Aquarium Gardens;20C Uplands Industrial Estate Mere;PE28 2JZ;WYTON;UNITED KINGDOM;GB;DAP;;Road;Road Shipment (house);;;Palau-solita I Plegamans;;ES;Wyton;;GB;N/A;;;0;0;0;0;0;1,44;470,00;;1;205,26;;142,54;0,44;;205,26;;;;;;23/02/2024;18/02/2024;;26/02/2024;;27/02/2024;Delivered/Closed;3060;POD Available
2024;2024/02;16/02/2024;Link Expired;"I24032202830; I24032202831";2220-7713-402.051-01;5011805583;;;;ESBCN;ES;#####;##;HRACHEVA VICTORIA;LISKIVSKA;01001;KIEV;UKRAINE;UA;WIOECO DESIGN SL;CALLE DE LA CIERVA 9;08184;PALAU-SOLITA I PLEGAMANS;SPAIN;ES;FCA;;Road;Road Shipment (house);;;Kiev;;UA;Palau-solita I Plegamans;;ES;N/A;;;0;0;0;0;0;;23.000,00;;23;7.538,91;;;0,33;;327,7786957;16/02/2024;;23/02/2024;;;22/02/2024;;;;;13/03/2024;Delivered/Closed;3000;Delivered to Consignee OK
